year,phase,cbs_rate_percent,ibs_rate_percent,combined_rate_percent,icms_rate_percent_of_original,iss_rate_percent_of_original,pis_cofins_status,icms_iss_status,milestone_description,revenue_distribution_principle
2019,Proposal,0,0,0,100,100,Active,Active,PEC 45/2019 introduced by Deputy Baleia Rossi,Origin (100%)
2023,Approval,0,0,0,100,100,Active,Active,Constitutional Amendment 132/2023 promulgated Dec 20,Origin (100%)
2024,Preparation,0,0,0,100,100,Active,Active,Complementary Law 214/2025 enacted; regulations drafted,Origin (100%)
2025,Pre-Implementation,0,0,0,100,100,Active,Active,Electronic invoicing testing begins Jul 2025,Origin (100%)
2026,Testing Start,0.9,0.1,1.0,100,100,Active,Active,CBS/IBS pilot begins; businesses adapt systems,Origin (100%)
2027,Testing Continue,0.9,0.1,1.0,100,100,Active,Active,System refinement; tax authority training,Origin (100%)
2028,Testing End,0.9,0.1,1.0,100,100,Active,Active,Pilot evaluation; final adjustments before full rollout,Origin (100%)
2029,Transition Start,10.5,5.0,15.5,90,90,Eliminated,Phasing Out,PIS/COFINS fully replaced by CBS; ICMS/ISS begin reduction,Origin (100%)
2030,Gradual Replacement,10.5,9.0,19.5,80,80,Eliminated,Phasing Out,ICMS/ISS reduced 10 pp annually; IBS rate increases,Origin (100%)
2031,Gradual Replacement,10.5,13.0,23.5,70,70,Eliminated,Phasing Out,ICMS/ISS reduced 10 pp; IBS compensates,Origin (100%)
2032,Gradual Replacement,10.5,17.0,27.5,60,60,Eliminated,Phasing Out,ICMS/ISS reduced 10 pp; Regional Fund compensation begins,Origin (100%)
2033,Full Implementation,11.0,17.0,28.0,0,0,Eliminated,Eliminated,ICMS/ISS fully eliminated; CBS/IBS only taxes; 50-year transition starts,Origin (100%)
2040,Long Transition,11.0,17.0,28.0,0,0,Eliminated,Eliminated,Revenue distribution: 14% destination / 86% origin,Destination (14%)
2050,Long Transition,11.0,17.0,28.0,0,0,Eliminated,Eliminated,Revenue distribution: 34% destination / 66% origin,Destination (34%)
2055,Midpoint,11.0,17.0,28.0,0,0,Eliminated,Eliminated,Revenue distribution: 44% destination / 56% origin,Destination (44%)
2060,Long Transition,11.0,17.0,28.0,0,0,Eliminated,Eliminated,Revenue distribution: 54% destination / 46% origin,Destination (54%)
2070,Long Transition,11.0,17.0,28.0,0,0,Eliminated,Eliminated,Revenue distribution: 74% destination / 26% origin,Destination (74%)
2078,Transition End,11.0,17.0,28.0,0,0,Eliminated,Eliminated,Full destination-based taxation achieved; reform complete,Destination (100%)
