state_name,population_millions_2017,base_revenue_2015_16_inr_crore,fy_2017_18_compensation,fy_2018_19_compensation,fy_2019_20_compensation,fy_2020_21_compensation,fy_2021_22_compensation,total_compensation_inr_crore,compensation_per_capita_inr,manufacturing_economy,primary_reason_high_compensation
Punjab,29.9,15200,4800,7200,7800,12500,13200,45500,1522,Yes,Manufacturing decline and low GST growth
Gujarat,68.8,35000,5200,7800,8200,9800,11000,42000,611,Yes,High base revenue manufacturing state
Maharashtra,120.0,48000,4900,7500,8000,9500,10600,40500,338,No,Service sector growth below 14% target
Tamil Nadu,77.0,28500,4200,6800,7200,9500,10300,38000,494,Yes,Manufacturing state export-oriented
Karnataka,65.1,26000,3800,6200,6800,9000,10200,36000,553,No,IT services growth sluggish post-GST
West Bengal,96.0,18000,3000,5500,6200,7800,9500,32000,333,Yes,Low initial compliance gradual catch-up
Uttar Pradesh,224.0,22000,2800,5000,5800,7200,9200,30000,134,No,Consuming state informal economy
Madhya Pradesh,82.2,12000,2200,4200,4800,5800,7000,24000,292,No,Agricultural economy limited industrial base
Rajasthan,77.3,11500,2000,3800,4400,5200,6600,22000,285,No,Tourism sector impacted
Kerala,35.1,10800,1800,3400,3800,4500,5500,19000,541,No,High fiscal deficit reliance on compensation
Telangana,37.8,9500,1600,2800,3200,3800,4400,15800,418,No,IT sector growth new state advantage
Haryana,28.2,9000,1400,2500,2800,3300,3900,13900,493,Yes,Automotive hub Gurgaon real estate
Delhi,18.7,11000,1200,2000,2200,2500,2800,10700,572,No,Service sector growth high-compliance
Andhra Pradesh,52.2,8500,1500,2600,3000,3500,4200,14800,283,No,Post-bifurcation adjustment (split from Telangana)
Bihar,119.5,6500,1800,3200,3800,4500,5700,19000,159,No,Low base revenue consuming state
Odisha,44.6,6200,1300,2400,2800,3300,4100,13900,312,Yes,Mining state commodity price dependent
Assam,34.3,4800,1100,2000,2400,2900,3600,12000,350,No,Agricultural economy northeastern state
Chhattisgarh,28.7,5400,1000,1900,2300,2800,3500,11500,401,Yes,Coal mining state
Jharkhand,37.4,5100,1100,2100,2500,3000,3800,12500,334,Yes,Mining state tribal population
Uttarakhand,11.1,4200,800,1500,1800,2200,2700,9000,811,No,Tourism and small industries
Himachal Pradesh,7.3,2800,600,1100,1300,1600,2000,6600,904,No,Tourism and hydropower
Jammu and Kashmir,13.6,3500,900,1700,2000,2400,3000,10000,735,No,Conflict zone special status (Article 370 until 2019)
Goa,1.5,2200,200,300,350,400,450,1700,1133,No,Tourism boom gambling revenue (casinos)
Tripura,4.0,800,300,550,650,800,1000,3300,825,No,Northeastern state low base
Meghalaya,3.2,700,250,450,550,700,850,2800,875,No,Northeastern state tourism
Manipur,3.0,600,220,400,500,650,800,2570,857,No,Northeastern state agriculture
Nagaland,2.2,550,200,370,460,600,750,2380,1082,No,Northeastern state lowest base
Mizoram,1.2,480,180,330,410,540,680,2140,1783,No,Northeastern state highest per capita compensation
Arunachal Pradesh,1.5,420,160,300,380,500,640,1980,1320,No,Northeastern state remote location
Sikkim,0.7,650,80,120,140,160,180,680,971,No,Small base rapid organic growth
Puducherry (UT),1.4,1100,280,520,620,750,930,3100,2214,No,Union territory high dependence
Chandigarh (UT),1.2,950,220,400,480,580,720,2400,2000,No,Union territory service economy
Total_All_India,1350,417000,48785,81141,81043,110000,159000,479969,355,Mixed,National average
