ID,Author(s),Year,Title,Publication,Type,Theme,Key_Concepts,Relevance_to_Argentina
1.1,Riker WH,1964,Federalism: Origin Operation Significance,Little Brown,Book,Federal Bargaining,federal bargain | minimum winning coalitions | centralization,Explains why provinces maintain Ingresos Brutos as insurance against federal reneging on Coparticipación
1.2,Bednar J,2009,The Robust Federation: Principles of Design,Cambridge University Press,Book,Federal Bargaining,safeguards | opportunism | robustness | redundancy,Argentina lacks multiple complementary safeguards for fiscal federalism
1.3,"Filippov M, Ordeshook PC, Shvetsova O",2004,Designing Federalism: A Theory of Self-Sustainable Federal Institutions,Cambridge University Press,Book,Federal Bargaining,mutual vulnerability | integrated party systems | self-enforcing,Weakly integrated party system undermines federal commitment credibility
1.4,Weingast BR,1995,The Economic Role of Political Institutions: Market-Preserving Federalism and Economic Development,J Law Econ Organ 11(1):1-31,Article,Federal Bargaining,market-preserving federalism | hard budget constraints,Argentina violates all four conditions of market-preserving federalism
1.5,Rodden J,2006,Hamilton's Paradox: The Promise and Peril of Fiscal Federalism,Cambridge University Press,Book,Federal Bargaining,soft budget constraints | bailout expectations | time-inconsistency,Chronic provincial bailouts undermine trust in federal compensation promises
1.6,Beramendi P,2012,The Political Geography of Inequality: Regions and Redistribution,Cambridge University Press,Book,Federal Bargaining,spatial inequality | regional redistribution | political geography,Extreme spatial inequality creates Ingresos Brutos equilibrium
1.7,Wibbels E,2005,Federalism and the Market: Intergovernmental Conflict and Economic Reform in the Developing World,Cambridge University Press,Book,Federal Bargaining,intergovernmental conflict | provincial veto | reform credibility,Classic case of provincial veto due to federal lack of credibility
1.8,Dixit A & Londregan J,1998,Fiscal Federalism and Redistributive Politics,J Public Econ 68(2):153-180,Article,Federal Bargaining,signaling | time-inconsistency | constitutional entrenchment,Coparticipación is statutory not constitutional enabling federal reneging
2.1,Zodrow GR & Mieszkowski P,1986,Pigou Tiebout Property Taxation and the Underprovision of Local Public Goods,J Urban Econ 19(3):356-370,Article,Tax Competition,race to the bottom | fiscal externalities | public goods,Ingresos Brutos exhibits opposite dynamic - race to the top via cascading
2.2,Wilson JD,1986,A Theory of Interregional Tax Competition,J Urban Econ 19(3):296-315,Article,Tax Competition,Nash equilibrium | strategic interaction | tax harmonization,24 provinces create high efficiency loss through beggar-thy-neighbor taxation
2.3,Keen M & Konrad KA,2013,The Theory of International Tax Competition and Coordination,Handbook Public Econ 5:257-328,Chapter,Tax Competition,tax coordination | enforcement | defection incentives,Consenso Fiscal agreements failed due to lack of enforcement mechanism
2.4,Oates WE,1972,Fiscal Federalism,Harcourt Brace Jovanovich,Book,Tax Competition,decentralization theorem | tax assignment | spillovers,Ingresos Brutos violates optimal tax assignment rules
2.5,Tiebout CM,1956,A Pure Theory of Local Expenditures,J Polit Econ 64(5):416-424,Article,Tax Competition,voting with feet | Tiebout competition | exit,Capital controls and labor immobility prevent Tiebout discipline
2.6,Brennan G & Buchanan JM,1980,The Power to Tax: Analytical Foundations of a Fiscal Constitution,Cambridge University Press,Book,Tax Competition & Constitutional,Leviathan government | constitutional constraints | tax limits,Provinces behave as revenue-maximizing Leviathans without constitutional limits
2.7,Kanbur R & Keen M,1993,Jeux Sans Frontières: Tax Competition and Tax Coordination When Countries Differ in Size,Am Econ Rev 83(4):877-892,Article,Tax Competition,size asymmetry | tax undercutting | coordination resistance,Small provinces block harmonization as they benefit from current system
2.8,Gordon RH,1983,An Optimal Taxation Approach to Fiscal Federalism,Q J Econ 98(4):567-586,Article,Tax Competition,optimal taxation | capital mobility | redistribution | efficiency,Federal redistribution insufficient despite theoretical optimality
2.9,Wildasin DE,1989,Interjurisdictional Capital Mobility: Fiscal Externality and a Corrective Subsidy,J Urban Econ 25(2):193-212,Article,Tax Competition,fiscal externalities | Pigouvian subsidies | corrective mechanisms,Cascading creates negative externality requiring federal corrective subsidy
2.10,Sinn HW,1997,The Selection Principle and Market Failure in Systems Competition,J Public Econ 66(2):247-274,Article,Tax Competition,systems competition | market failure | externalities | commitment problems,Ingresos Brutos exhibits all three market failures requiring coordinated reform
